06:23:02 [INFO] Opening target process: csgo.exe
06:23:02 [INFO] Found netvar: m_iState => 0x3268
06:23:02 [INFO] Found netvar: m_iTeamNum => 0xF4
06:23:02 [INFO] Found netvar: m_lifeState => 0x25F
06:23:02 [INFO] Found netvar: m_nFallbackPaintKit => 0x31D8
06:23:02 [INFO] Found netvar: m_nFallbackSeed => 0x31DC
06:23:02 [INFO] Found netvar: m_nFallbackStatTrak => 0x31E4
06:23:02 [INFO] Found netvar: m_iDefaultFOV => 0x333C
06:23:02 [INFO] Found netvar: m_iFOV => 0x31F4
06:23:02 [INFO] Found netvar: m_nForceBone => 0x268C
06:23:02 [INFO] Found netvar: m_nTickBase => 0x3440
06:23:02 [INFO] Found netvar: m_rgflCoordinateFrame => 0x474
06:23:02 [INFO] Found netvar: m_szCustomName => 0x304C
06:23:02 [INFO] Found netvar: m_szLastPlaceName => 0x35C4
06:23:02 [INFO] Found netvar: m_vecOrigin => 0x138
06:23:02 [INFO] Found netvar: m_vecVelocity => 0x114
06:23:02 [INFO] Found netvar: m_vecViewOffset => 0x108
06:23:02 [INFO] Found netvar: m_viewPunchAngle => 0x3030
06:23:02 [INFO] Found netvar: m_thirdPersonViewAngles => 0x31E4
06:23:02 [INFO] Found netvar: m_clrRender => 0x70
06:23:02 [INFO] Found netvar: m_bBombTicking => 0x2990
06:23:02 [INFO] Found netvar: m_bBombDefused => 0x29C0
06:23:02 [INFO] Found netvar: m_flC4Blow => 0x29A0
06:23:02 [INFO] Found netvar: m_hBombDefuser => 0x29C4
06:23:02 [INFO] Found netvar: m_flTimerLength => 0x29A4
06:23:02 [INFO] Found netvar: m_flDefuseLength => 0x29B8
06:23:02 [INFO] Found netvar: m_flDefuseCountDown => 0x29BC
06:23:02 [INFO] Found netvar: m_nBombSite => 0x2994
06:23:02 [INFO] Found netvar: cs_gamerules_data => 0x0
06:23:02 [INFO] Found netvar: m_SurvivalRules => 0xD00
06:23:02 [INFO] Found netvar: m_SurvivalGameRuleDecisionTypes => 0x1328
06:23:02 [INFO] Found netvar: m_bIsValveDS => 0x7C
06:23:02 [INFO] Found netvar: m_bFreezePeriod => 0x20
06:23:02 [INFO] Found netvar: m_bBombPlanted => 0x9A5
06:23:02 [INFO] Found netvar: m_bIsQueuedMatchmaking => 0x74
06:23:02 [INFO] Found netvar: m_flSimulationTime => 0x268
06:23:02 [INFO] Found netvar: m_flLowerBodyYawTarget => 0x9ADC
06:23:02 [INFO] Found netvar: m_angEyeAnglesX => 0x117D0
06:23:02 [INFO] Found netvar: m_angEyeAnglesY => 0x117D4
06:23:02 [INFO] Found netvar: m_flNextAttack => 0x2D80
06:23:02 [INFO] Found netvar: m_iMostRecentModelBoneCounter => 0x268C
06:23:02 [INFO] Found netvar: m_flLastBoneSetupTime => 0x28C0
06:23:02 [INFO] Found netvar: m_bStartedArming => 0x3400
06:23:02 [INFO] Found netvar: m_bUseCustomBloomScale => 0x9DA
06:23:02 [INFO] Found netvar: m_bUseCustomAutoExposureMin => 0x9D8
06:23:02 [INFO] Found netvar: m_bUseCustomAutoExposureMax => 0x9D9
06:23:02 [INFO] Found netvar: m_flCustomBloomScale => 0x9E4
06:23:02 [INFO] Found netvar: m_flCustomAutoExposureMin => 0x9DC
06:23:02 [INFO] Found netvar: m_flCustomAutoExposureMax => 0x9E0
06:23:02 [INFO] Found netvar: m_nViewModelIndex => 0x29D0
06:23:02 [INFO] Found netvar: m_nModelIndex => 0x258
06:23:02 [INFO] Finished netvar scanning: 94/94 items successful
